INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(0,TO_DATE('1977/03/13', 'yyyy/mm/dd'),'mxsbaylw xcwbyyfy','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(1,TO_DATE('1995/09/15', 'yyyy/mm/dd'),'zhicc ffqwr','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(2,TO_DATE('1973/01/18', 'yyyy/mm/dd'),'lydymgoaz voujzyawg','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(3,TO_DATE('1998/04/25', 'yyyy/mm/dd'),'dpdxvuurspxmif ssnwqktzqbpbdh','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(4,TO_DATE('1985/05/15', 'yyyy/mm/dd'),'mstnoejtpouz yanvunxxfjek','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(5,TO_DATE('1970/02/29', 'yyyy/mm/dd'),'liwlmoxe bhahoqvr','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(6,TO_DATE('1998/06/07', 'yyyy/mm/dd'),'pwossgr maijkiv','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(7,TO_DATE('1991/01/21', 'yyyy/mm/dd'),'ilscyis psetryy','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(8,TO_DATE('1998/01/25', 'yyyy/mm/dd'),'rhjgzen hzlqvmn','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(9,TO_DATE('1980/09/16', 'yyyy/mm/dd'),'kdtygkhjbuz hrkwagqnsol','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(10,TO_DATE('1994/07/28', 'yyyy/mm/dd'),'icrasswht rjalkromz','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(11,TO_DATE('1992/05/12', 'yyyy/mm/dd'),'eevoffqnc dynbjxzmz','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(12,TO_DATE('1979/04/23', 'yyyy/mm/dd'),'nrgmkykyu xnkhjzgir','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(13,TO_DATE('1977/08/16', 'yyyy/mm/dd'),'okuyhzu gizsebz','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(14,TO_DATE('1977/01/02', 'yyyy/mm/dd'),'hitmdsqkfgr fpnliileqvr','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(15,TO_DATE('1988/12/03', 'yyyy/mm/dd'),'ycdzlnfjpp qlvifuwbqr','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(16,TO_DATE('1979/01/05', 'yyyy/mm/dd'),'ljawjoxpo uistfvaoj','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(17,TO_DATE('1972/06/21', 'yyyy/mm/dd'),'cjalaklotmoc ackposdvtksa','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(18,TO_DATE('1980/02/24', 'yyyy/mm/dd'),'lagco nblye','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(19,TO_DATE('1997/06/16', 'yyyy/mm/dd'),'afgjmohmpldj cdtkjygmgkcc','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(20,TO_DATE('1993/11/19', 'yyyy/mm/dd'),'emkcolgmqbjbo eklvdjrviocnv','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(21,TO_DATE('1980/08/04', 'yyyy/mm/dd'),'cmqsv qpkdz','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(22,TO_DATE('1978/09/20', 'yyyy/mm/dd'),'gpnomocmq nbqdqppbd','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(23,TO_DATE('1986/03/21', 'yyyy/mm/dd'),'loozuzbupppqdw dcpdpawxfbugmx','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(24,TO_DATE('1994/06/17', 'yyyy/mm/dd'),'jamnzzrjmz hobnopgthc','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(25,TO_DATE('1977/08/10', 'yyyy/mm/dd'),'mrknbfvonqle chgwjilwkppy','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(26,TO_DATE('1997/01/17', 'yyyy/mm/dd'),'enygo cbgwc','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(27,TO_DATE('1990/10/13', 'yyyy/mm/dd'),'ovetnomjtydm blwojfghxbqt','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(28,TO_DATE('1977/05/01', 'yyyy/mm/dd'),'peprdglfbtui wuzisvmxkaws','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(29,TO_DATE('1989/09/02', 'yyyy/mm/dd'),'kpbzpuptlh lzxtvxhuzb','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(30,TO_DATE('1987/04/08', 'yyyy/mm/dd'),'dyzzqtib lmlxolmt','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(31,TO_DATE('1975/11/30', 'yyyy/mm/dd'),'ivhzkrsd xxbamiju','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(32,TO_DATE('1994/12/27', 'yyyy/mm/dd'),'hrymccwja totxrxcyg','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(33,TO_DATE('1992/12/03', 'yyyy/mm/dd'),'djrclifdh cpyxnaton','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(34,TO_DATE('1982/06/15', 'yyyy/mm/dd'),'eirpfprgmj njddnqkyzq','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(35,TO_DATE('1973/05/19', 'yyyy/mm/dd'),'fzemrwglqxxgd lggfgbdecftda','m');
INSERT INTO competidor (id, data_nascimento, nome, sexo) VALUES(36,TO_DATE('1973/02/26', 'yyyy/mm/dd'),'ittzqx egngqd','m');
